linie;bahnhof;fahrzeit_min;lat;lon
GTFS;Ohlstadt;62;47.63409;11.21807
GTFS;Prien am Chiemsee;62;47.85522;12.34698
GTFS;Rammingen(Bay);62;48.05244;10.58979
GTFS;Langweid(Lech);63;48.49045;10.84797
GTFS;Mühldorf(Oberbay);63;48.24821;12.51964
GTFS;Oberaudorf;63;47.65279;12.17526
GTFS;Tegernsee;63;47.71448;11.75662
GTFS;Gessertshausen;64;48.33371;10.73238
GTFS;Kochel;64;47.66065;11.37099
GTFS;Merching;64;48.24577;10.97940
GTFS;Mertingen Bahnhof;64;48.66097;10.82475
GTFS;Gaimersheim;65;48.79879;11.36979
GTFS;Eschenlohe;66;47.60175;11.18794
GTFS;Lenggries;66;47.68039;11.57354
GTFS;Bernau a Chiemsee;67;47.81648;12.38096
GTFS;Herbertshofen;67;48.52953;10.84803
GTFS;Kinding(Altmühltal);67;48.99138;11.37850
GTFS;Kolbermoor;67;47.85193;12.06415
GTFS;Kufstein;67;47.58308;12.16555
GTFS;Schmiechen(Schwab);67;48.21305;10.97809
GTFS;Dingolfing;68;48.64160;12.48687
GTFS;Kiefersfelden;68;47.60984;12.19054
GTFS;Eitensheim;69;48.81598;11.31926
GTFS;Fischbachau;69;47.70565;11.93354
GTFS;Rosenheim Aicherpark;69;47.85165;12.08947
GTFS;Donauwörth;70;48.71403;10.77144
GTFS;Egling;70;48.19087;10.97650
GTFS;Garmisch-Partenkirchen;70;47.49145;11.09701
GTFS;Kaufbeuren;70;47.87543;10.62950
GTFS;Kutzenhausen;70;48.33477;10.69634
GTFS;Ulm Hbf;71;48.39940;9.98261
GTFS;Oberau;72;47.55927;11.13927
GTFS;Töging(Inn);72;48.25901;12.59487
GTFS;Geitau;73;47.69389;11.96640
GTFS;Tauberfeld;73;48.81924;11.27569
GTFS;Westendorf;73;48.57185;10.84337
GTFS;Übersee;73;47.82205;12.48734
GTFS;Eggmühl;74;48.83650;12.18219
GTFS;Memmingen;74;47.98558;10.18685
